function,ahref
avfilter_graph_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga871684449dac05050df238a18d0d493b">avfilter_graph_free</a>
av_fifo_generic_read,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#ab708d2f19b7a9592caa278256787adb6">av_fifo_generic_read</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_fifo_freep,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#a612be59edb6ab388a82d1487d1bd0c4d">av_fifo_freep</a>
avsubtitle_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaa2c3e02a761d9fc0c5c9b2340408c332">avsubtitle_free</a>
av_buffer_unref,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__buffer.html#ga135e9e929b5033bb8f68322497b2effc">av_buffer_unref</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avfilter_inout_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavfi.html#ga294500a9856260eb1552354fd9d9a6c4">avfilter_inout_free</a>
avio_closep,<a href="https://ffmpeg.org/doxygen/4.1/avio_8h.html#ae118a1f37f1e48617609ead9910aac15">avio_closep</a>
avformat_free_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__core.html#gac2990b13b68e831a408fce8e1d0d6445">avformat_free_context</a>
av_dict_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga1bafd682b1fbb90e48a4cc3814b820f7">av_dict_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_bsf_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__misc.html#ga08d53431e76355f88e27763b1940df4f">av_bsf_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_dict_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga1bafd682b1fbb90e48a4cc3814b820f7">av_dict_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_expr_free,<a href="https://ffmpeg.org/doxygen/4.1/eval_8c.html#a01c05d7049a9208c2b22147a3f16c58c">av_expr_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avcodec_free_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaf869d0829ed607cec3a4a02a1c7026b3">avcodec_free_context</a>
avcodec_parameters_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#ga950c8da55b8112077e640b6a0cb8cf36">avcodec_parameters_free</a>
av_fifo_generic_read,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#ab708d2f19b7a9592caa278256787adb6">av_fifo_generic_read</a>
av_packet_unref,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__packet.html#ga63d5a489b419bd5d45cfd09091cbcbc2">av_packet_unref</a>
av_fifo_freep,<a href="https://ffmpeg.org/doxygen/4.1/libavutil_2fifo_8c.html#a612be59edb6ab388a82d1487d1bd0c4d">av_fifo_freep</a>
avformat_close_input,<a href="https://ffmpeg.org/doxygen/4.1/group__lavf__decoding.html#gae804b99aec044690162b8b9b110236a4">avformat_close_input</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_dict_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__dict.html#ga1bafd682b1fbb90e48a4cc3814b820f7">av_dict_free</a>
av_frame_free,<a href="https://ffmpeg.org/doxygen/4.1/group__lavu__frame.html#ga979d73f3228814aee56aeca0636e37cc">av_frame_free</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
av_freep,<a href="https://ffmpeg.org/doxygen/4.1/tableprint__vlc_8h.html#adba82e1bcd02de510a858fcbedf79ef1">av_freep</a>
avcodec_free_context,<a href="https://ffmpeg.org/doxygen/4.1/group__lavc__core.html#gaf869d0829ed607cec3a4a02a1c7026b3">avcodec_free_context</a>
